774822/name/0	King Ludwig Beerhall
780314/cuisine/1	Seafood
780314/cuisine/2	Sushi
780314/cuisine/3	Asian
780314/dietary_restrictions/0	Vegetarian Friendly
780314/dietary_restrictions/1	Vegan Options
780314/location/0	Tsim Sha Tsui
780314/location/1	Kowloon
780314/location/2	Yau Tsim Mong District
780373/name/0	Spaghetti House
780373/address/0	City Plaza, Citygate, Tung Chung Shop G20,Ground Floor, Citygate Outlets
780373/cuisine/0	Italian
780373/dietary_restrictions/0	None
780373/location/0	New Territories
780373/location/1	Islands District
780373/location/2	Tung Chung
781031/name/0	Sky Lounge
781031/address/0	20 Nathan Road 20 Nathan Road, Kowloon
781031/cuisine/0	International
781031/cuisine/1	Wine Bar
781031/cuisine/2	Bar
781031/dietary_restrictions/0	Gluten Free Options
781031/location/0	Tsim Sha Tsui
781031/location/1	Kowloon
781031/location/2	Yau Tsim Mong District
782087/name/0	Wai Kee
782087/address/0	G/F, 62,66 Fuk Wing Street, Sham Shui Po
782087/cuisine/0	Chinese
782087/cuisine/1	Fast Food
782087/cuisine/2	Asian
782087/dietary_restrictions/0	None
782087/location/0	Sham Shui Po District
782087/location/1	Nam Cheong
782087/location/2	Kowloon
782414/name/0	Bonheur
782414/address/0	6/F.,, 22-26 Bonham Strand East, Sheung Wan
782414/cuisine/0	French
782414/cuisine/1	European
782414/dietary_restrictions/0	None
782414/location/0	Sheung Wan
782414/location/1	Central District
782414/location/2	Hong Kong Island
782778/name/0	Sing Heung Yuen
782778/address/0	No.2 Shop Mee Lun Street, Central, Hong Kong
782778/cuisine/0	Fast Food
782778/cuisine/1	Asian
782778/dietary_restrictions/0	None
782778/location/0	Sheung Wan
782778/location/1	Central District
782778/location/2	Hong Kong Island
783174/name/0	Kings' Lodge
783174/address/0	67-71 Chatham Road South, Tsim Sha Tsui
783174/cuisine/0	Chinese
783174/cuisine/1	Asian
783174/cuisine/2	Diner
783174/cuisine/3	Beijing cuisine
783174/dietary_restrictions/0	Vegetarian Friendly
783174/location/0	Tsim Sha Tsui
783174/location/1	Kowloon
783174/location/2	Yau Tsim Mong District
784980/name/0	Joy Hing Food Shop
784980/address/0	265-267 Hennessy Road, Wan Chai
784980/cuisine/0	Chinese
784980/cuisine/1	Fast Food
784980/cuisine/2	Barbecue
784980/cuisine/3	Asian
784980/dietary_restrictions/0	None
784980/location/0	Wan Chai / Causeway Bay
784980/location/1	Hong Kong Island
784980/location/2	Hennessy Road
785057/name/0	Yung Kee Restaurant
785057/address/0	32-40 Wellington Street Central
785057/cuisine/0	Chinese
785057/cuisine/1	Asian
785057/dietary_restrictions/0	Gluten Free Options
785057/location/0	Central
785057/location/1	Central District
785057/location/2	Hong Kong Island
785240/name/0	Chesa
785240/address/0	1/F, The Peninsula Hong Kong, No.22 Salisbury Road Tsim Sha Tsui
785240/cuisine/0	Swiss
785240/cuisine/1	European
785240/cuisine/2	Central European
785240/dietary_restrictions/0	Vegetarian Friendly
785240/dietary_restrictions/1	Gluten Free Options
785240/location/0	Tsim Sha Tsui
785240/location/1	Kowloon
785240/location/2	Yau Tsim Mong District
785246/name/0	TOKIO JOE
785246/address/0	G/f., 16 Lan Kwai Fong
785246/cuisine/0	Japanese
785246/cuisine/1	Sushi
785246/cuisine/2	Asian
785246/dietary_restrictions/0	Vegetarian Friendly
785246/location/0	Central
785246/location/1	Central District
785246/location/2	Hong Kong Island
785488/name/0	Wing Lai Yuen Sze Chuen Noodles Restaurant
785488/address/0	G/F, 15-17 Fung Tak Road
785488/cuisine/0	Chinese
785488/cuisine/1	Asian
785488/dietary_restrictions/0	None
785488/location/0	Wong Tai Sin District
785488/location/1	Kowloon
786786/name/0	Isola Bar & Grill
786786/address/0	Shop 2075, 2/F, IFC, 8 Finance Street, Central District Shop 2075, Podium 2, ifc mall
786786/cuisine/0	Italian
786786/cuisine/1	European
786786/dietary_restrictions/0	Vegetarian Friendly
786786/dietary_restrictions/1	Vegan Options
786786/dietary_restrictions/2	Gluten Free Options
786786/location/0	Central
786786/location/1	Central District
786786/location/2	Hong Kong Island
786790/name/0	Gaia Ristorante
786790/address/0	G/F, Grand Millennium Plaza, 181 Queen's Road Central, Sheung Wan
786790/cuisine/0	Italian
786790/cuisine/1	European
786790/dietary_restrictions/0	Vegetarian Friendly
786790/dietary_restrictions/1	Vegan Options
786790/dietary_restrictions/2	Gluten Free Options
786790/location/0	Sheung Wan
786790/location/1	Central District
786790/location/2	Hong Kong Island
786792/name/0	Spices
786792/address/0	G/F, 109 Repulse Bay Road Repulse Bay
786792/cuisine/0	Asian
786792/cuisine/1	Thai
786792/cuisine/2	Indian
786792/dietary_restrictions/0	Vegetarian Friendly
786792/dietary_restrictions/1	Vegan Options
786792/dietary_restrictions/2	Gluten Free Options
786792/location/0	Bays Area
786792/location/1	Hong Kong Island
786792/location/2	Southern District
786797/name/0	Tonkichi Japanese Restaurant
786797/address/0	Shop P412 World Trade Centre, 280 Gloucester Road , Causeway Bay
786797/cuisine/0	Japanese
786797/cuisine/1	Asian
786797/dietary_restrictions/0	None
786797/location/0	Wan Chai / Causeway Bay
786797/location/1	Hong Kong Island
786798/name/0	Chili Club
786798/address/0	1/F, 88 Lockhart Road, Wan Chai
786798/cuisine/0	Asian
786798/cuisine/1	Thai
786798/dietary_restrictions/0	Vegetarian Friendly
786798/dietary_restrictions/1	Vegan Options
786798/location/0	Wan Chai / Causeway Bay
786798/location/1	Hong Kong Island
786798/location/2	Tai Fat Hau
787017/name/0	Modern China Restaurant
787017/address/0	No.33 Wai Yip St, Kowloon Bay Shop 603, 6/F, Telford Plaza II
787017/cuisine/0	Deli
787017/dietary_restrictions/0	None
787017/location/0	Wan Chai / Causeway Bay
787017/location/1	Hong Kong Island
787017/location/2	Canal Road
788600/name/0	Tai Ping Koon Restaurant
788600/address/0	6 Pak Sha Road, Causeway Bay
788600/cuisine/0	Asian
788600/cuisine/1	Chinese
788600/dietary_restrictions/0	None
788600/location/0	Wan Chai / Causeway Bay
788600/location/1	Hong Kong Island
788642/name/0	The Peak Lookout
788642/address/0	121 Peak Road, The Peak
788642/cuisine/0	European
788642/cuisine/1	Asian
788642/cuisine/2	International
788642/dietary_restrictions/0	Vegetarian Friendly
788642/dietary_restrictions/1	Gluten Free Options
788642/location/0	Peak
788642/location/1	Central District
788642/location/2	Hong Kong Island
788792/name/0	Gaddi's
788792/address/0	1/F, The Peninsula Hotel, Salisbury Road, Tsim Sha Tsui
788792/cuisine/0	French
788792/cuisine/1	European
788792/dietary_restrictions/0	Vegetarian Friendly
788792/dietary_restrictions/1	Vegan Options
788792/dietary_restrictions/2	Gluten Free Options
788792/location/0	Tsim Sha Tsui
788792/location/1	Kowloon
788792/location/2	Yau Tsim Mong District
788798/name/0	The Verandah Restaurant
788798/address/0	1/F, The Peninsula Hong Kong, 19-21 Nathan Road, Tsim Sha Tsui
788798/cuisine/0	International
788798/cuisine/1	European
788798/dietary_restrictions/0	Vegetarian Friendly
788798/dietary_restrictions/1	Vegan Options
788798/dietary_restrictions/2	Gluten Free Options
788798/location/0	Tsim Sha Tsui
788798/location/1	Kowloon
788798/location/2	Yau Tsim Mong District
788816/name/0	The Boathouse
788816/address/0	G/F, 88 Stanley Main Street, Stanley
788816/cuisine/0	Bar
788816/cuisine/1	Seafood
788816/cuisine/2	European
788816/cuisine/3	International
788816/dietary_restrictions/0	Vegetarian Friendly
788816/location/0	Stanley
788816/location/1	Hong Kong Island
788816/location/2	Southern District
788818/name/0	El Cid Spanish Restaurant TST
788818/address/0	G/F, New Knutsford House, 14 Knutsford Terrace, Tsim Sha Tsui
788818/cuisine/0	Mediterranean
788818/cuisine/1	European
788818/cuisine/2	Spanish
788818/dietary_restrictions/0	Vegetarian Friendly
788818/location/0	Tsim Sha Tsui
788818/location/1	Kowloon
788818/location/2	Yau Tsim Mong District
788827/name/0	Dan Ryan's Chicago Grill
788827/address/0	88 Queensway,114 Pacific Place Cityplaza Taikoo
788827/cuisine/0	Bar
788827/cuisine/1	American
788827/dietary_restrictions/0	None
788827/location/0	Hong Kong Island
788827/location/1	Tai Fat Hau
790073/name/0	Le Marron
790073/address/0	12/F., Ying Kong Centre, Causeway Bay
790073/cuisine/0	French
790073/cuisine/1	European
790073/dietary_restrictions/0	None
790073/location/0	Wan Chai / Causeway Bay
790073/location/1	Hong Kong Island
793088/name/0	Bo Innovation
793088/address/0	Shop 13, 2/F J Residence; 60 Johnston Road,Wan Chai (Lift entrance at top of Ship Street)
793088/cuisine/0	Chinese
793088/cuisine/1	Asian
793088/dietary_restrictions/0	None
793088/location/0	Wan Chai / Causeway Bay
793088/location/1	Hong Kong Island
793088/location/2	Tai Fat Hau
793090/name/0	Ole Spanish Restaurant & Wine Bar
793090/address/0	24-30 Ice House Street, 1/F, Shun Ho Tower, Central
793090/cuisine/0	Mediterranean
793090/cuisine/1	European
793090/cuisine/2	Spanish
793090/dietary_restrictions/0	Vegetarian Friendly
793090/location/0	Central
793090/location/1	Central District
793090/location/2	Hong Kong Island
793447/name/0	Sun Chiu Kee
793447/address/0	K2-K4, 14 King's Rd.
793447/cuisine/0	Chinese
793447/cuisine/1	Asian
793447/cuisine/2	Diner
793447/dietary_restrictions/0	None
793447/location/0	Tin Hau
793447/location/1	Hong Kong Island
793998/name/0	Sen-ryo
793998/address/0	Shop 3099-3100 IFC Mall Shop 3099-3100, 3/F, ifc mall
793998/cuisine/0	Japanese
793998/cuisine/1	Seafood
793998/cuisine/2	Sushi
793998/cuisine/3	Asian
793998/dietary_restrictions/0	None
793998/location/0	Central
793998/location/1	Central District
793998/location/2	Hong Kong Island
794006/name/0	Katong
794006/address/0	8 Mercer Street
794006/cuisine/0	Asian
794006/cuisine/1	Singaporean
794006/cuisine/2	Malaysian
794006/dietary_restrictions/0	None
794006/location/0	Sheung Wan
794006/location/1	Central District
794006/location/2	Hong Kong Island
794045/name/0	Fish Bar
794045/address/0	Level 7 - JW Marriott Hotel Hong Kong Pacific Place, 88 Queensway, Hong Kong SAR China
794045/cuisine/0	Seafood
794045/cuisine/1	Grill
794045/dietary_restrictions/0	None
794045/location/0	Hong Kong Island
794045/location/1	Tai Fat Hau
794409/name/0	Sorabol
794409/address/0	132-134 Nathan Road
794409/cuisine/0	Barbecue
794409/cuisine/1	Asian
794409/cuisine/2	Korean
794409/dietary_restrictions/0	None
794409/location/0	Tsim Sha Tsui
794409/location/1	Kowloon
794409/location/2	Yau Tsim Mong District
796097/name/0	cafe TOO
796097/address/0	Level 7, Island Shangri-La Hotel, Supreme Court Road
796097/cuisine/0	Asian
796097/cuisine/1	International
796097/dietary_restrictions/0	Vegetarian Friendly
796097/dietary_restrictions/1	Vegan Options
796097/location/0	Hong Kong Island
796097/location/1	Tai Fat Hau
796615/name/0	Nadaman Island Shangri-la Hong Kong
796615/address/0	Level 7, Island Shangri-La Hotel Hong Kong, Pacific Place, Supreme Court Road, Central Level 7, Island Shangri-La Hotel Hong Kong
796615/cuisine/0	Japanese
796615/cuisine/1	Sushi
796615/cuisine/2	Asian
796615/dietary_restrictions/0	None
796615/location/0	Central District
796615/location/1	Hong Kong Island
797531/name/0	Dynasty
797531/address/0	3/F, No. 1 Harbour Road, Wan Chai Renaissance Hong Kong Harbour View Hotel, Wan Chai
797531/cuisine/0	Chinese
797531/dietary_restrictions/0	Vegetarian Friendly
797531/dietary_restrictions/1	Gluten Free Options
797531/dietary_restrictions/2	Vegan Options
797531/location/0	Wan Chai / Causeway Bay
797531/location/1	Hong Kong Island
797531/location/2	Southorn Playground
797651/name/0	Agnes b. le pain grille
797651/address/0	No 111 Leighton Road , Causeway Bay
797651/cuisine/0	Cafe
797651/cuisine/1	French
797651/dietary_restrictions/0	None
797651/location/0	Wan Chai / Causeway Bay
797651/location/1	Hong Kong Island
798091/name/0	City Hall Maxim's Palace
798091/address/0	2/F, Low Block, City Hall, Central
798091/cuisine/0	Chinese
798091/cuisine/1	Asian
798091/dietary_restrictions/0	Vegetarian Friendly
798091/dietary_restrictions/1	Vegan Options
798091/location/0	Central
798091/location/1	Central District
798091/location/2	Hong Kong Island
798374/name/0	Tsui Wah Restaurant
798374/address/0	15-19 Wellington St, Central
798374/cuisine/0	Chinese
798374/cuisine/1	Asian
798374/dietary_restrictions/0	Vegetarian Friendly
798374/location/0	Central
798374/location/1	Central District
798374/location/2	Hong Kong Island
798380/name/0	Jimmy's Kitchen Central
798380/address/0	Basement, South China Bldg, 1-3 Wyndham St, Central
798380/cuisine/0	European
798380/cuisine/1	British
798380/dietary_restrictions/0	Vegetarian Friendly
798380/location/0	Central
798380/location/1	Central District
798380/location/2	Hong Kong Island
799250/name/0	Bombay Dreams
799250/address/0	77 Wyndham Street
799250/cuisine/0	Indian
799250/cuisine/1	Asian
799250/dietary_restrictions/0	Vegetarian Friendly
799250/dietary_restrictions/1	Vegan Options
799250/dietary_restrictions/2	Halal
799250/dietary_restrictions/3	Gluten Free Options
799250/location/0	Central
799250/location/1	Central District
799250/location/2	Hong Kong Island
799289/name/0	Tai Fung Lau Peking Restaurant
799289/address/0	29-31, Chatham Road S Tsim Sha Tsui
799289/cuisine/0	Chinese
799289/cuisine/1	Asian
799289/dietary_restrictions/0	Vegetarian Friendly
799289/location/0	Tsim Sha Tsui
799289/location/1	Kowloon
799289/location/2	Yau Tsim Mong District
799819/name/0	Nathan Congee And Noodle
799819/address/0	11 Sai Kung Street,, Jordan
799819/cuisine/0	Chinese
799819/cuisine/1	Asian
799819/dietary_restrictions/0	None
799819/location/0	Jordan / Yau Ma Tei
799819/location/1	Kowloon
799819/location/2	Yau Tsim Mong District
799826/name/0	Good Satay
799826/address/0	Houston Centre, 63 Mody Road, Tsimshatsui East
799826/cuisine/0	Asian
799826/cuisine/1	Singaporean
799826/cuisine/2	Malaysian
799826/dietary_restrictions/0	None
799826/location/0	Tsim Sha Tsui
799826/location/1	Kowloon
799826/location/2	Yau Tsim Mong District
799829/name/0	Hot Dog Link
799829/address/0	67D Waterloo Road, Homantin
799829/cuisine/0	Fast Food
799829/cuisine/1	American
799829/cuisine/2	German
799829/dietary_restrictions/0	None
799829/location/0	Kowloon City District
799829/location/1	Mong Kok
799829/location/2	Kowloon
799832/name/0	Kam Wah Cafe
799832/address/0	47 Bute Street, Mongkok
799832/cuisine/0	Chinese
799832/cuisine/1	Cafe
799832/cuisine/2	Asian
799832/dietary_restrictions/0	None
799832/location/0	Mong Kok
799832/location/1	Kowloon
799832/location/2	Yau Tsim Mong District
799833/name/0	Amaroni's
799833/address/0	LG1-32 Festival Walk Kowloon Tong, Kowloon
799833/cuisine/0	Italian
799833/cuisine/1	Pizza
799833/cuisine/2	European
799833/dietary_restrictions/0	Vegetarian Friendly
799833/location/0	Sham Shui Po District
799833/location/1	Kowloon
799843/name/0	Lau Sum Kee Noodles
799843/address/0	48 Kweilin Street, Shamshuipo
799843/cuisine/0	Chinese
799843/cuisine/1	Fast Food
799843/cuisine/2	Asian
799843/dietary_restrictions/0	None
799843/location/0	Sham Shui Po District
799843/location/1	Nam Cheong
799843/location/2	Kowloon
799846/name/0	Sister Wah
799846/address/0	13A Electric Road
799846/cuisine/0	Chinese
799846/cuisine/1	Asian
799846/cuisine/2	Soups
799846/dietary_restrictions/0	None
799846/location/0	Tin Hau
799846/location/1	Hong Kong Island
799850/name/0	Islam Food
799850/address/0	1 Lung Kong Road, Kowloon City
799850/cuisine/0	Asian
799850/dietary_restrictions/0	Halal
799850/location/0	Kowloon City District
799850/location/1	Kowloon
799915/name/0	Amigo Restaurant
799915/address/0	Amigo Mansion, 79A Wong Nai Chung Rd, Happy Valley
799915/cuisine/0	French
799915/cuisine/1	European
799915/cuisine/2	International
799915/dietary_restrictions/0	None
799915/location/0	Wan Chai / Causeway Bay
799915/location/1	Happy Valley
799915/location/2	Hong Kong Island
799952/name/0	Tung Po
799952/address/0	2nd Floor, 99 Java Road Municipal Services Building, North Point
799952/cuisine/0	Chinese
799952/cuisine/1	Seafood
799952/cuisine/2	Asian
799952/dietary_restrictions/0	None
799952/location/0	North Point
799952/location/1	Hong Kong Island
799952/location/2	Eastern District
799952/location/3	Fortress Hill
799966/name/0	Bubba Gump Shrimp Co.
799966/address/0	Shop 304 & 305, Level 3, The Peak Tower, 128 Peak Road Shop 304-305, 3/F, The Peak Tower
799966/cuisine/0	American
799966/cuisine/1	Bar
799966/cuisine/2	Seafood
799966/dietary_restrictions/0	Gluten Free Options
799966/location/0	Peak
799966/location/1	Central District
799966/location/2	Hong Kong Island
799972/name/0	Gaylord Indian Restaurant
799972/address/0	5/F, Prince Tower, 12A Peking Road, Tsim Sha Tsui, Kowloon
799972/cuisine/0	Indian
799972/cuisine/1	Asian
799972/dietary_restrictions/0	Vegetarian Friendly
799972/dietary_restrictions/1	Vegan Options
799972/dietary_restrictions/2	Gluten Free Options
799972/location/0	Tsim Sha Tsui
799972/location/1	Kowloon
799972/location/2	Yau Tsim Mong District
799998/name/0	Istanbul Express
799998/address/0	Lock Rd.
799998/cuisine/0	Turkish
799998/cuisine/1	Middle Eastern
799998/dietary_restrictions/0	Halal
799998/location/0	Tsim Sha Tsui
799998/location/1	Kowloon
799998/location/2	Yau Tsim Mong District
800259/name/0	The Flying Pan
800259/address/0	37-39 Lockhart Road 1/F, David House
800259/cuisine/0	American
800259/cuisine/1	Cafe
800259/cuisine/2	Diner
800259/dietary_restrictions/0	Vegetarian Friendly
800259/dietary_restrictions/1	Vegan Options
800259/dietary_restrictions/2	Gluten Free Options
800259/location/0	Wan Chai / Causeway Bay
800259/location/1	Hong Kong Island
800259/location/2	Tai Fat Hau
800834/name/0	Mak Man Kee Noodle Shop
800834/address/0	51 Parkes Street, Yaumatei
800834/cuisine/0	Chinese
800834/cuisine/1	Asian
800834/dietary_restrictions/0	None
800834/location/0	Jordan / Yau Ma Tei
800834/location/1	Kowloon
800834/location/2	Yau Tsim Mong District
802071/name/0	Indonesian Sate House
802071/address/0	G/F., 76D Main Street East, Shau Kei Wan
802071/cuisine/0	Asian
802071/cuisine/1	Indonesian
802071/dietary_restrictions/0	None
802071/location/0	Eastern District
802071/location/1	Hong Kong Island
802071/location/2	Shau Kei Wan
802814/name/0	Cucina
802814/address/0	Level 6, Marco Polo Hongkong Hotel, Harbour City, 3 Canton Road, Tsim Sha Tsui, Kowloon
802814/cuisine/0	International
802814/cuisine/1	Italian
802814/dietary_restrictions/0	Vegetarian Friendly
802814/dietary_restrictions/1	Vegan Options
802814/dietary_restrictions/2	Gluten Free Options
802814/location/0	Tsim Sha Tsui
802814/location/1	Kowloon
802814/location/2	Yau Tsim Mong District
803676/name/0	Thai Basil
803676/address/0	G/F Pacific Place Mall, Admiralty
803676/cuisine/0	Asian
803676/cuisine/1	Thai
803676/dietary_restrictions/0	Vegetarian Friendly
803676/dietary_restrictions/1	Vegan Options
803676/location/0	Hong Kong Island
803676/location/1	Tai Fat Hau
803682/name/0	ShangHai 369 Restaurant
803682/address/0	30-34 O'Brien St, Wan Chai
803682/cuisine/0	Chinese
803682/cuisine/1	Asian
803682/dietary_restrictions/0	None
803682/location/0	Wan Chai / Causeway Bay
803682/location/1	Hong Kong Island
803682/location/2	Hennessy Road
803863/name/0	Orange Tree Restaurant
803863/address/0	No.15-16 Lan Kwai Fong, Central 5/F, Grand Progress Building
803863/cuisine/0	European
803863/dietary_restrictions/0	None
803863/location/0	Central
803863/location/1	Central District
803863/location/2	Hong Kong Island
803867/name/0	Sushi Kuu
803867/address/0	1/F, Wellington Place, 2-8 Wellington St., Central
803867/cuisine/0	Japanese
803867/cuisine/1	Sushi
803867/cuisine/2	Asian
803867/dietary_restrictions/0	None
803867/location/0	Central
803867/location/1	Central District
803867/location/2	Hong Kong Island
803980/name/0	King Ludwig Beerhall
803980/address/0	Shop 202, Murray House, Stanley Plaza
803980/cuisine/0	German
803980/cuisine/1	Bar
803980/cuisine/2	European
803980/cuisine/3	Pub
803980/dietary_restrictions/0	None
803980/location/0	Stanley
803980/location/1	Hong Kong Island
803980/location/2	Southern District
805757/name/0	Joia Ristorante / Joia Cafe & Bar
805757/address/0	Shop Nos 2061A & 2060B-62B, Elements Shopping Mall, Kowloon Station, 1 Austin Road West, Kowloon
805757/cuisine/0	Italian
805757/cuisine/1	Mediterranean
805757/cuisine/2	European
805757/dietary_restrictions/0	Vegetarian Friendly
805757/dietary_restrictions/1	Gluten Free Options
805757/location/0	Kowloon
805757/location/1	Yau Tsim Mong District
807470/name/0	Yokozuna
807470/address/0	G/F, 466-472 Nathan Road, Yaumatei
807470/cuisine/0	Japanese
807470/cuisine/1	Asian
807470/cuisine/2	Soups
807470/dietary_restrictions/0	None
807470/location/0	Kowloon
807470/location/1	Yau Tsim Mong District
807561/name/0	Sushi One
807561/address/0	G/F, 29 Leighton Road, Causeway Bay
807561/cuisine/0	Japanese
807561/cuisine/1	Sushi
807561/cuisine/2	Asian
807561/dietary_restrictions/0	None
807561/location/0	Hong Kong Island
808255/name/0	Grissini
808255/address/0	2/F, Grand Hyatt Hong Kong 1 Harbour Road, Wan Chai
808255/cuisine/0	Italian
808255/cuisine/1	European
808255/dietary_restrictions/0	Vegetarian Friendly
808255/dietary_restrictions/1	Vegan Options
808255/dietary_restrictions/2	Gluten Free Options
808255/location/0	Wan Chai / Causeway Bay
808255/location/1	Hong Kong Island
808255/location/2	Southorn Playground
809453/name/0	L'Atelier de Joel Robuchon
809453/address/0	15 Queen's Road Central
809453/cuisine/0	French
809453/cuisine/1	European
809453/dietary_restrictions/0	Vegetarian Friendly
809453/dietary_restrictions/1	Vegan Options
809453/dietary_restrictions/2	Gluten Free Options
809453/location/0	Central
809453/location/1	Central District
809453/location/2	Hong Kong Island
810957/name/0	Sabatini Ristorante Italiano
810957/address/0	3/F, The Royal Garden, 69 Mody Road
810957/cuisine/0	Italian
810957/cuisine/1	European
810957/dietary_restrictions/0	Vegetarian Friendly
810957/dietary_restrictions/1	Gluten Free Options
810957/location/0	Tsim Sha Tsui
810957/location/1	Kowloon
810957/location/2	Yau Tsim Mong District
812337/name/0	Spring Moon
812337/address/0	Salisbury Road, Kowloon The Peninsula Hong Kong
812337/cuisine/0	Chinese
812337/cuisine/1	Asian
812337/dietary_restrictions/0	Vegetarian Friendly
812337/dietary_restrictions/1	Vegan Options
812337/dietary_restrictions/2	Gluten Free Options
812337/location/0	Tsim Sha Tsui
812337/location/1	Kowloon
812337/location/2	Yau Tsim Mong District
812339/name/0	Fook Lam Moon
812339/address/0	35-45 Johnston Road
812339/cuisine/0	Chinese
812339/cuisine/1	Asian
812339/dietary_restrictions/0	None
812339/location/0	Wan Chai / Causeway Bay
812339/location/1	Hong Kong Island
812339/location/2	Tai Fat Hau
812824/name/0	Oyster & Wine Bar
812824/address/0	18th Floor, Sheraton Hong Kong Hotel & Towers 20 Nathan Road, Kowloon
812824/cuisine/0	Seafood
812824/cuisine/1	European
812824/cuisine/2	Wine Bar
812824/dietary_restrictions/0	Gluten Free Options
812824/location/0	Tsim Sha Tsui
812824/location/1	Kowloon
812824/location/2	Yau Tsim Mong District
813629/name/0	Ebeneezer's Kebabs & Pizzeria Wanchai-1
813629/address/0	89 Lockhart Road, Wanchai
813629/cuisine/0	Fast Food
813629/dietary_restrictions/0	Halal
813629/dietary_restrictions/1	Vegetarian Friendly
813629/location/0	Wan Chai / Causeway Bay
813629/location/1	Hong Kong Island
813629/location/2	Tai Fat Hau
813887/name/0	Ah Long Pakistan Halal Food
813887/address/0	95B, G/F, Woosung Street, Jordan, Kowloon
813887/cuisine/0	Asian
813887/cuisine/1	Pakistani
813887/dietary_restrictions/0	Halal
813887/location/0	Sheung Wan
813887/location/1	Central District
813887/location/2	Hong Kong Island
814814/name/0	Matsubishi Japanese Restaurant
814814/address/0	Harbour Road
814814/cuisine/0	Japanese
814814/cuisine/1	Sushi
814814/cuisine/2	Asian
814814/dietary_restrictions/0	None
814814/location/0	Wan Chai / Causeway Bay
814814/location/1	Hong Kong Island
814814/location/2	Southorn Playground
815957/name/0	Brunch Club & Supper
815957/address/0	1/f 13 Leighton Road
815957/cuisine/0	Cafe
815957/cuisine/1	European
815957/dietary_restrictions/0	Vegetarian Friendly
815957/location/0	Wan Chai / Causeway Bay
815957/location/1	Hong Kong Island
816180/name/0	Celestial Court Chinese Restaurant
816180/address/0	20 Nathan Road, Kowloon 2/F, Sheraton Hong Kong Hotel & Towers
816180/cuisine/0	Chinese
816180/cuisine/1	Asian
816180/dietary_restrictions/0	Vegetarian Friendly
816180/dietary_restrictions/1	Vegan Options
816180/location/0	Tsim Sha Tsui
816180/location/1	Kowloon
816180/location/2	Yau Tsim Mong District
816218/name/0	Mochi Cafe
816218/address/0	19-23 Hart Avenue, Tsim Sha Tsui
816218/cuisine/0	Japanese
